Symbol,Date,Close
MA,3/3/2015 16:00:00,90.97
MA,3/4/2015 16:00:00,91.71
MA,3/5/2015 16:00:00,92.81
MA,3/6/2015 16:00:00,90.79
MA,3/9/2015 16:00:00,91.12
MA,3/10/2015 16:00:00,88.84
MA,3/11/2015 16:00:00,86.97
MA,3/12/2015 16:00:00,89.25
MA,3/13/2015 16:00:00,87.75
MA,3/16/2015 16:00:00,88.71
MA,3/17/2015 16:00:00,87.97
MA,3/18/2015 16:00:00,88.88
MA,3/19/2015 16:00:00,89.02
MA,3/20/2015 16:00:00,89.82
MA,3/23/2015 16:00:00,89.33
MA,3/24/2015 16:00:00,89.49
MA,3/25/2015 16:00:00,87.37
MA,3/26/2015 16:00:00,87.93
MA,3/27/2015 16:00:00,87.25
MA,3/30/2015 16:00:00,87.67
MA,3/31/2015 16:00:00,86.39
MA,4/1/2015 16:00:00,86.74
MA,4/2/2015 16:00:00,87.03
MA,4/6/2015 16:00:00,87.34
MA,4/7/2015 16:00:00,87.92
MA,4/8/2015 16:00:00,89.32
MA,4/9/2015 16:00:00,89.06
MA,4/10/2015 16:00:00,88.57
MA,4/13/2015 16:00:00,88.25
MA,4/14/2015 16:00:00,89.12
MA,4/15/2015 16:00:00,89.25
MA,4/16/2015 16:00:00,88.72
MA,4/17/2015 16:00:00,86.93
MA,4/20/2015 16:00:00,87.33
MA,4/21/2015 16:00:00,87.77
MA,4/22/2015 16:00:00,91.2
MA,4/23/2015 16:00:00,90.88
MA,4/24/2015 16:00:00,90.72
MA,4/27/2015 16:00:00,89.75
MA,4/28/2015 16:00:00,90.23
MA,4/29/2015 16:00:00,90.25
MA,4/30/2015 16:00:00,90.21
MA,5/1/2015 16:00:00,91.25
MA,5/4/2015 16:00:00,91.18
MA,5/5/2015 16:00:00,90.78
MA,5/6/2015 16:00:00,90.57
MA,5/7/2015 16:00:00,92.05
MA,5/8/2015 16:00:00,93.51
MA,5/11/2015 16:00:00,92.52
MA,5/12/2015 16:00:00,92.39
MA,5/13/2015 16:00:00,92.52
MA,5/14/2015 16:00:00,93.84
MA,5/15/2015 16:00:00,93.22
MA,5/18/2015 16:00:00,93.08
MA,5/19/2015 16:00:00,93.8
MA,5/20/2015 16:00:00,93.24
MA,5/21/2015 16:00:00,92.9
MA,5/22/2015 16:00:00,92.69
MA,5/26/2015 16:00:00,91.89
MA,5/27/2015 16:00:00,92.59
MA,5/28/2015 16:00:00,92.82
MA,5/29/2015 16:00:00,92.26
MA,6/1/2015 16:00:00,92.56
MA,6/2/2015 16:00:00,93.17
MA,6/3/2015 16:00:00,93.5
MA,6/4/2015 16:00:00,92.57
MA,6/5/2015 16:00:00,92.62
MA,6/8/2015 16:00:00,91.9
MA,6/9/2015 16:00:00,92.09
MA,6/10/2015 16:00:00,94.17
MA,6/11/2015 16:00:00,94.5
MA,6/12/2015 16:00:00,93.77
MA,6/15/2015 16:00:00,93.3
MA,6/16/2015 16:00:00,94.15
MA,6/17/2015 16:00:00,94.45
MA,6/18/2015 16:00:00,96.05
MA,6/19/2015 16:00:00,94.81
MA,6/22/2015 16:00:00,95.42
